gene_id,expression,sample_id,mag_id
MAG140_MAG140_MAG140_111_58,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_59,4.878224186,EX01,MAG140
MAG140_MAG140_MAG140_111_6,1.190214659,EX01,MAG140
MAG140_MAG140_MAG140_111_60,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_61,39.71386783,EX01,MAG140
MAG140_MAG140_MAG140_111_62,2.495972772,EX01,MAG140
MAG140_MAG140_MAG140_111_63,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_64,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_65,4.266559901,EX01,MAG140
MAG140_MAG140_MAG140_111_66,17.32230172,EX01,MAG140
MAG140_MAG140_MAG140_111_67,8.934999821,EX01,MAG140
MAG140_MAG140_MAG140_111_68,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_69,10.89441462,EX01,MAG140
MAG140_MAG140_MAG140_111_7,0.630719963,EX01,MAG140
MAG140_MAG140_MAG140_111_70,0.732205785,EX01,MAG140
MAG140_MAG140_MAG140_111_71,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_72,11.4789845,EX01,MAG140
MAG140_MAG140_MAG140_111_73,10.53397114,EX01,MAG140
MAG140_MAG140_MAG140_111_74,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_75,7.554093527,EX01,MAG140
MAG140_MAG140_MAG140_111_76,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_77,18.82055126,EX01,MAG140
MAG140_MAG140_MAG140_111_78,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_79,18.92469608,EX01,MAG140
MAG140_MAG140_MAG140_111_8,0.469361356,EX01,MAG140
MAG140_MAG140_MAG140_111_80,2.067743361,EX01,MAG140
MAG140_MAG140_MAG140_111_81,1.999320647,EX01,MAG140
MAG140_MAG140_MAG140_111_82,12.8463323,EX01,MAG140
MAG140_MAG140_MAG140_111_83,15.07217346,EX01,MAG140
MAG140_MAG140_MAG140_111_84,2.965978161,EX01,MAG140
MAG140_MAG140_MAG140_111_85,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_86,5.84852061,EX01,MAG140
MAG140_MAG140_MAG140_111_87,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_88,3.428091658,EX01,MAG140
MAG140_MAG140_MAG140_111_89,2.388972705,EX01,MAG140
MAG140_MAG140_MAG140_111_9,1.202175994,EX01,MAG140
MAG140_MAG140_MAG140_111_90,37.38452658,EX01,MAG140
MAG140_MAG140_MAG140_111_91,1.435340042,EX01,MAG140
MAG140_MAG140_MAG140_111_92,9.95191031,EX01,MAG140
MAG140_MAG140_MAG140_111_93,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_94,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_95,18.50680154,EX01,MAG140
MAG140_MAG140_MAG140_111_96,2.712986632,EX01,MAG140
MAG140_MAG140_MAG140_111_97,0.0,EX01,MAG140
MAG140_MAG140_MAG140_111_98,4.381582384,EX01,MAG140
MAG140_MAG140_MAG140_111_99,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_10,1.097258681,EX01,MAG140
MAG140_MAG140_MAG140_112_11,0.835036864,EX01,MAG140
MAG140_MAG140_MAG140_112_12,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_13,0.376411912,EX01,MAG140
MAG140_MAG140_MAG140_112_14,4.555959311,EX01,MAG140
MAG140_MAG140_MAG140_112_15,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_16,1.904711374,EX01,MAG140
MAG140_MAG140_MAG140_112_17,0.511444125,EX01,MAG140
MAG140_MAG140_MAG140_112_18,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_19,1.772504707,EX01,MAG140
MAG140_MAG140_MAG140_112_2,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_20,69.47861683,EX01,MAG140
MAG140_MAG140_MAG140_112_21,3.288659056,EX01,MAG140
MAG140_MAG140_MAG140_112_22,9.499081623,EX01,MAG140
MAG140_MAG140_MAG140_112_23,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_24,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_3,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_4,1.233267211,EX01,MAG140
MAG140_MAG140_MAG140_112_5,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_6,0.0,EX01,MAG140
MAG140_MAG140_MAG140_112_7,0.638684931,EX01,MAG140
MAG140_MAG140_MAG140_112_8,0.396790196,EX01,MAG140
MAG140_MAG140_MAG140_112_9,0.779446181,EX01,MAG140
MAG140_MAG140_MAG140_113_1,0.0,EX01,MAG140
MAG140_MAG140_MAG140_113_10,0.0,EX01,MAG140
MAG140_MAG140_MAG140_113_11,0.449792012,EX01,MAG140
MAG140_MAG140_MAG140_113_12,1.350171586,EX01,MAG140
MAG140_MAG140_MAG140_113_13,2.245091254,EX01,MAG140
MAG140_MAG140_MAG140_113_14,0.0,EX01,MAG140
MAG140_MAG140_MAG140_113_15,0.0,EX01,MAG140
MAG140_MAG140_MAG140_113_16,0.0,EX01,MAG140
MAG140_MAG140_MAG140_113_17,0.261857864,EX01,MAG140
